Wavelength (nm),Bright1 (W/m^2/Âµm/sr),Bright2 (W/m^2/Âµm/sr),Dark1 (W/m^2/Âµm/sr)
780.823,249.316,209.8757,6.277203
780.884,247.0228,207.8857,6.159158
780.9449,242.4469,203.9703,5.980685
781.0059,239.8203,201.689,5.845088
781.067,242.5412,203.8996,5.830472
781.1279,246.4023,207.0616,5.833627
781.189,245.2742,206.0226,5.70809
781.25,239.1247,200.7581,5.457499
781.311,234.7843,197.0004,5.240523
781.3721,237.3773,199.0395,5.15867
781.4332,242.2335,202.8808,5.111639
781.4942,232.7005,193.3,4.963326
781.5553,206.1263,167.7369,4.669144
781.6164,186.6042,148.899,4.291906
781.6775,182.0336,144.2534,3.913883
781.7386,181.0061,142.9395,3.500483
781.7997,175.5585,137.6374,3.00524
781.8608,153.6406,117.6842,2.400401
781.922,121.0961,88.10643,1.71287
781.9831,97.66177,66.49015,1.085054
782.0443,77.39471,48.66068,0.597902
782.1054,51.73461,28.6076,0.259562
782.1666,26.39259,12.38514,0.0773299
782.2278,8.669198,3.425783,0.01353247
782.289,2.928326,0.5886965,0.00242155
782.3502,4.68887,0.4744681,0.00250996
782.4114,8.472642,1.732895,0.004205726
782.4726,13.1638,4.504826,0.008760118
782.5338,19.03888,8.532485,0.01965966
782.5951,26.17752,13.36746,0.04101424
782.6563,34.43239,18.58606,0.07937067
782.7176,43.64679,24.22217,0.1421398
782.7789,51.92357,29.83476,0.2259494
782.8401,55.4091,33.21397,0.3001934
782.9014,55.86357,34.65643,0.3519812
782.9627,56.94664,36.00309,0.3975731
783.024,56.20046,35.82077,0.4198785
783.0853,54.10518,34.41214,0.4158893
783.1467,52.27536,33.0486,0.4037126
783.208,50.78096,32.03803,0.3945347
783.2693,50.05809,31.58669,0.3936975
783.3307,47.6232,30.0779,0.3763878
783.3921,45.42692,28.70679,0.3634038
783.4535,44.21533,28.03557,0.3588183
783.5149,45.68674,28.8791,0.3664322
783.5763,47.55569,29.69851,0.3704376
783.6376,46.19807,28.66564,0.3482356
783.699,47.53342,29.39923,0.3594258
783.7605,46.49334,28.87855,0.3574248
783.8219,47.29797,29.53374,0.3694238
783.8833,49.80947,30.97333,0.3881925
783.9448,47.8624,29.74217,0.3649139
784.0063,52.36937,32.50083,0.4067336
784.0677,52.63652,32.73074,0.4143079
784.1292,49.31475,30.85237,0.3943684
784.1907,54.93686,34.27029,0.4593615
784.2522,53.5773,33.47028,0.4480251
784.3137,51.39329,32.23921,0.4170378
784.3753,57.60098,35.83175,0.4571508
784.4368,54.44704,33.55955,0.4092144
784.4983,51.99924,31.84904,0.3621527
784.5598,58.85054,35.72745,0.3882515
784.6214,54.14404,32.28308,0.3258297
784.683,44.49115,24.92723,0.2228631
784.7446,42.16671,21.16309,0.1675083
784.8061,32.52558,15.23116,0.09616524
784.8678,19.70796,8.98459,0.03343
784.9293,19.30831,7.593292,0.02296791
784.991,23.70617,9.081845,0.03033166
785.0526,26.75247,11.98028,0.04320341
785.1142,33.73928,16.54965,0.07751583
785.1759,40.47649,20.38167,0.1167051
785.2376,40.5395,21.39746,0.1341848
785.2992,44.00408,24.67584,0.1814817
785.3609,56.97004,32.94024,0.2907598
785.4226,61.49363,36.33265,0.3540974
785.4843,54.98693,33.22788,0.3596057
785.5459,58.82741,36.29333,0.4414155
785.6077,69.53906,43.51628,0.5454608
785.6694,64.71004,40.4438,0.5049584
785.7311,53.28856,32.95913,0.4222135
785.7929,57.33036,35.92473,0.4736988
785.8546,66.03689,42.31988,0.5571918
785.9164,61.76521,39.90537,0.5363406
785.9781,57.82109,37.42366,0.5289582
786.0399,68.86216,44.95411,0.6479582
786.1017,78.33764,51.59262,0.7442638
786.1635,71.36528,47.13662,0.6899304
786.2253,63.59525,41.87551,0.6404307
786.2871,70.68313,46.74695,0.7403265
786.349,79.15359,52.70557,0.8296896
786.4108,73.95947,49.41673,0.7583222
786.4727,67.39052,45.01864,0.6788117
786.5345,73.53186,48.91438,0.7527062
786.5964,81.47598,54.28033,0.8616794
786.6583,79.05195,53.32801,0.8491825
786.7202,74.70342,51.24094,0.8016409
786.7821,79.4255,54.70201,0.8657119
786.844,86.92157,59.47284,0.9635077
786.9059,85.89265,58.46212,0.9467893
786.9678,77.83961,52.84877,0.8356197
787.0297,76.5997,51.70316,0.8163644
787.0917,85.22347,57.30362,0.947978
787.1537,89.72225,60.68298,1.045797
787.2156,83.67265,57.19022,0.9921844
787.2776,78.80338,53.91883,0.9260047
787.3396,84.8692,57.55415,1.002293
787.4016,92.16457,62.39021,1.118445
787.4636,90.8116,61.79598,1.124463
787.5256,83.59066,57.0619,1.020908
787.5876,82.32526,55.64333,0.9537233
787.6496,86.10755,57.12886,0.9281925
787.7117,80.56813,52.3183,0.7896211
787.7737,67.44131,42.34428,0.591949
787.8358,60.40928,36.58836,0.4955146
787.8979,66.9538,40.71846,0.5422367
787.96,79.37495,49.84143,0.6571156
788.022,84.6857,54.1871,0.7435306
788.0841,78.97445,49.9904,0.71334
788.1463,68.4132,41.72763,0.5679854
788.2084,61.91336,36.14528,0.4320946
788.2705,60.04409,33.76534,0.349425
788.3327,56.51319,30.16931,0.2733815
788.3948,44.89247,22.02416,0.176039
788.457,25.94295,11.57425,0.07700408
788.5191,10.71273,4.057406,0.02076914
788.5814,7.17184,1.297107,0.008306672
788.6435,10.74799,1.737211,0.01255518
788.7057,15.49641,3.918288,0.02209511
788.7679,20.9737,7.385378,0.03987474
788.8302,27.85539,11.84808,0.07176619
788.8924,35.05407,16.76679,0.1262876
788.9546,43.00734,22.51586,0.2073842
789.0169,52.01083,28.84385,0.3008657
789.0791,59.11279,34.03735,0.4021685
789.1414,64.16539,38.31616,0.5140479
789.2037,68.36101,42.51204,0.6112214
789.266,70.10482,45.11305,0.6636871
789.3283,69.18835,45.17568,0.6703182
789.3906,66.88762,43.6945,0.6465349
789.4529,64.97034,42.32721,0.6224473
789.5153,64.12218,41.71283,0.6125533
789.5776,63.59267,41.45341,0.6155788
789.6399,62.93371,41.13863,0.6171444
789.7023,62.5689,40.91512,0.609523
789.7646,61.83888,40.39502,0.5947213
789.827,61.81757,40.31424,0.5898393
789.8894,63.79479,41.54472,0.6096852
789.9518,63.82965,41.64471,0.6175305
790.0142,64.95029,42.43214,0.6436095
790.0766,64.80606,42.44339,0.6511963
790.1391,64.22938,42.1838,0.6565328
790.2015,65.94709,43.26965,0.6902516
790.264,63.55645,41.76424,0.6718704
790.3264,64.52917,42.39887,0.7010932
790.3889,65.50791,43.10422,0.7228738
790.4513,64.23296,42.44419,0.7134398
790.5138,68.69025,45.3444,0.8013071
790.5763,68.55045,45.37976,0.8129192
790.6389,68.07553,45.29066,0.7894013
790.7013,72.69159,48.25485,0.841619
790.7639,70.10829,46.41576,0.8053464
790.8264,70.07392,46.48254,0.8185497
790.889,75.39781,50.25548,0.922895
790.9515,72.91798,48.9708,0.9242583
791.0141,72.59329,49.04159,0.9599716
791.0767,76.98549,51.96018,1.045629
791.1392,74.93137,50.80861,1.006757
791.2018,76.08329,52.12494,1.02547
791.2644,83.61241,57.47924,1.183062
791.3271,82.0865,57.18214,1.183673
791.3897,81.34753,58.35575,1.152167
791.4523,92.72326,67.38935,1.341412
791.5149,94.65648,69.02743,1.410026
791.5776,90.18626,66.25519,1.361591
791.6403,101.9368,75.0973,1.557159
791.7029,111.4901,82.20078,1.730153
791.7656,101.9434,75.44495,1.63731
791.8283,98.68438,73.25436,1.656046
791.891,110.2108,81.74272,1.877994
791.9537,107.8621,80.04079,1.823996
792.0164,95.37479,70.84042,1.611408
792.0792,101.4114,75.19353,1.775071
792.142,115.3814,85.6498,2.091073
792.2047,113.6411,85.20257,2.079934
792.2674,111.7246,85.31415,2.043951
792.3303,128.2765,98.85477,2.352606
792.393,138.739,107.002,2.546724
792.4558,126.9216,98.08278,2.341523
792.5186,122.237,95.02155,2.273471
792.5814,138.9093,108.726,2.585143
792.6443,147.2736,115.7242,2.749704
792.7071,135.7259,106.5303,2.582245
792.7699,131.8487,103.2604,2.575039
792.8328,147.0737,115.7177,2.895418
792.8957,155.6714,123.0848,3.055467
792.9586,143.379,113.2001,2.82341
793.0214,135.0224,106.2529,2.681408
793.0843,147.013,116.0143,2.903875
793.1472,155.0777,122.4616,2.979739
793.2101,139.6955,109.207,2.577647
793.273,118.983,90.55148,2.119425
