Wavelength (nm),Bright1 (W/m^2/Âµm/sr),Bright2 (W/m^2/Âµm/sr),Dark1 (W/m^2/Âµm/sr)
811.886,205.1189,172.9345,5.570429
811.9519,204.1997,172.3138,5.629497
812.0179,202.1634,170.8131,5.571567
812.0838,200.3223,169.355,5.485974
812.1498,199.9476,168.8256,5.482683
812.2157,198.2276,167.0859,5.417633
812.2817,191.0993,160.782,5.193706
812.3477,183.4729,154.0124,4.982
812.4137,179.3656,150.2327,4.863359
812.4797,176.0597,147.1763,4.764067
812.5457,176.8301,147.5638,4.770084
812.6118,181.6298,151.4023,4.886237
812.6778,180.8087,150.7861,4.853518
812.7438,175.5753,146.5826,4.700552
812.8099,174.5582,145.7343,4.678297
812.8759,174.9837,146.0866,4.714467
812.942,178.381,148.9561,4.827438
813.0081,186.2959,155.4166,5.074479
813.0742,190.2179,158.5188,5.183787
813.1403,183.9655,153.0958,4.906947
813.2065,165.9946,137.7826,4.315236
813.2726,150.5358,124.568,3.885992
813.3388,152.5598,125.874,3.928535
813.4049,162.3895,133.6046,4.153279
813.4711,163.0883,133.9136,4.115062
813.5372,150.3719,123.6182,3.727456
813.6035,139.8407,115.1719,3.467212
813.6696,141.5708,116.4425,3.538116
813.7358,146.1736,120.0384,3.634445
813.8021,150.8138,123.9262,3.707798
813.8683,157.4666,129.774,3.866915
813.9346,168.4218,139.1818,4.182576
814.0008,179.9408,148.9516,4.497102
814.0671,181.469,150.2661,4.570848
814.1333,170.6955,141.1561,4.351017
814.1996,154.2377,127.4142,3.941031
814.266,142.9595,117.9469,3.644712
814.3322,140.4871,115.605,3.583688
814.3986,143.5399,117.8258,3.649239
814.4649,152.1066,124.615,3.836911
814.5313,156.5176,128.2495,3.928282
814.5976,152.8958,125.6567,3.873343
814.6639,157.481,129.6628,4.080655
814.7303,167.6909,138.0301,4.401527
814.7967,167.4955,137.8322,4.412618
814.8631,160.4371,132.0388,4.241724
814.9295,156.2539,128.6665,4.125482
814.9959,148.8278,122.5793,3.877811
815.0623,137.8273,113.3945,3.508406
815.1288,133.5123,109.6599,3.338667
815.1953,137.7741,113.0808,3.448777
815.2617,152.169,124.9318,3.841408
815.3282,166.9907,137.2981,4.231582
815.3946,166.8386,137.4112,4.24543
815.4612,158.3011,130.4876,4.05392
815.5276,154.3681,127.1702,3.966362
815.5941,147.1927,121.0823,3.742506
815.6607,135.0291,110.9811,3.379097
815.7272,137.1151,112.5133,3.472356
815.7938,154.4703,126.589,3.994648
815.8603,167.7538,137.7682,4.34625
815.9269,163.9501,134.9545,4.232667
815.9935,149.9131,123.5227,3.905373
816.0601,148.6448,122.5282,3.932531
816.1266,162.5436,133.8269,4.315531
816.1933,170.6572,140.3339,4.497315
816.2599,160.6879,131.884,4.150289
816.3266,134.8686,110.4533,3.3684
816.3932,112.063,91.77278,2.722309
816.4598,114.1565,93.2785,2.765462
816.5265,133.1002,108.3264,3.231758
816.5932,135.7411,110.4896,3.282993
816.6599,124.0342,101.3028,2.995567
816.7266,130.9538,107.116,3.224158
816.7933,153.6461,125.8381,3.897422
816.86,169.2053,139.0921,4.397377
816.9267,174.4632,144.2801,4.599517
816.9935,171.0479,142.3587,4.535843
817.0602,155.4804,129.604,4.13644
817.127,135.3198,112.4898,3.576162
817.1937,126.5356,104.8886,3.292912
817.2606,138.2692,114.2367,3.617314
817.3273,163.6185,135.6092,4.332078
817.3941,184.2929,154.292,4.910213
817.461,192.7929,162.5354,5.233137
817.5278,193.8512,163.7246,5.414115
817.5946,191.9452,162.1877,5.461281
817.6615,189.7158,160.313,5.396875
817.7283,188.2768,159.0112,5.267039
817.7952,180.1165,151.6789,4.92253
817.8621,154.5852,129.4042,4.138373
817.929,131.347,109.1834,3.446073
817.9959,132.6495,110.0575,3.453103
818.0628,140.6464,117.1071,3.707777
818.1298,149.3598,124.898,3.975811
818.1967,167.9021,140.9498,4.477452
818.2636,182.1045,153.428,4.904176
818.3306,176.7363,149.1968,4.822725
818.3976,161.1178,136.0822,4.441115
818.4646,155.14,130.9628,4.331289
818.5316,162.5221,137.2067,4.595221
818.5986,178.3792,150.9209,5.054156
818.6656,192.3888,162.9605,5.478225
818.7326,193.5342,163.7213,5.60589
818.7996,182.9003,154.6603,5.33779
818.8667,173.547,146.8138,5.017684
818.9337,175.4502,148.0746,5.047284
819.0008,178.9257,150.6692,5.128097
819.0679,168.9201,142.3425,4.749681
819.135,154.1002,129.9901,4.244487
819.2021,159.6469,134.4321,4.421512
819.2692,179.824,151.2602,5.054725
819.3364,190.7837,160.62,5.42032
819.4035,187.9172,158.3139,5.367925
819.4706,173.4172,146.3671,4.928517
819.5378,160.3346,135.6839,4.493175
819.6049,160.6354,135.7879,4.484248
819.6721,163.048,137.4287,4.626204
819.7393,165.8144,139.61,4.780919
819.8065,174.4112,146.8792,5.022779
819.8738,174.9275,147.2959,4.963832
819.941,158.1046,133.0225,4.383506
820.0082,144.1601,121.0399,3.929353
820.0755,148.3582,124.383,4.059693
820.1427,157.473,132.3022,4.34268
820.21,162.7785,137.2184,4.50883
820.2773,167.2421,141.4242,4.653277
820.3446,174.6118,148.2147,4.886637
820.4119,185.0204,157.683,5.216315
820.4792,194.498,166.2399,5.514524
820.5465,199.7536,170.9674,5.696664
820.6138,199.5769,170.9311,5.741238
820.6812,196.9577,168.7433,5.71629
820.7485,198.2504,169.9921,5.787499
820.8159,203.0796,174.2655,5.935681
820.8833,204.4618,175.4369,5.97658
820.9507,202.036,173.4605,5.901031
821.018,199.5944,171.4385,5.827088
821.0855,198.7596,170.4846,5.815016
821.1529,199.6893,170.9899,5.834811
821.2203,200.7586,171.776,5.853264
821.2878,200.1807,171.2885,5.844075
821.3552,196.3278,168.091,5.739444
821.4227,190.0938,162.8865,5.570743
821.4902,186.4795,159.7725,5.480341
821.5577,187.94,160.8698,5.518337
821.6252,192.3457,164.5318,5.632286
821.6927,196.4038,167.945,5.742215
821.7602,198.7717,169.9004,5.79294
821.8278,198.4804,169.4596,5.763229
821.8953,195.1075,166.3095,5.657948
821.9628,188.551,160.7791,5.431454
822.0304,183.0044,156.2375,5.221101
822.098,183.4964,156.4741,5.214006
822.1656,182.0716,155.0909,5.142526
822.2332,173.916,148.0522,4.906401
822.3008,165.3843,140.4757,4.694602
822.3684,164.0061,138.6471,4.613218
822.436,171.9784,144.4221,4.706354
822.5037,178.4141,149.0245,4.740266
822.5713,168.4564,139.8682,4.413276
822.639,150.0992,123.5607,3.928687
822.7067,142.183,116.1813,3.688632
822.7744,139.1526,112.7789,3.541772
822.8421,125.7194,100.6656,3.092649
822.9098,103.2129,81.25177,2.405186
822.9775,81.51086,63.06952,1.79014
823.0453,70.19467,53.91124,1.46345
823.113,76.48116,58.50013,1.562786
823.1808,88.55864,67.41819,1.825407
823.2486,92.09586,70.0232,1.92943
823.3163,87.23537,66.81617,1.853618
823.3841,85.72521,66.63231,1.875708
823.4519,99.85492,78.26168,2.298795
823.5197,117.7393,92.85664,2.803059
823.5875,125.5015,99.98982,3.024491
823.6554,131.4647,105.8871,3.204437
823.7233,141.4633,114.838,3.556257
823.7911,147.8761,120.5554,3.857845
823.859,147.639,120.6356,3.931721
823.9268,146.8394,120.305,3.934956
823.9948,152.3234,125.4464,4.102378
824.0626,163.8483,135.7654,4.391864
824.1305,172.6757,143.8333,4.628318
824.1985,174.7858,146.1307,4.810932
824.2664,176.5352,147.9682,4.98167
824.3343,179.7934,150.9638,5.112809
824.4023,179.9437,151.2397,5.135664
824.4703,173.8439,146.4188,4.951711
824.5382,165.6826,140.1055,4.696908
824.6062,169.3958,143.5649,4.805228
824.6742,185.878,157.5963,5.281087
824.7423,198.8965,168.9458,5.684381
824.8103,201.8087,171.6591,5.870736
824.8783,199.5151,169.9033,5.900477
824.9464,195.5469,166.879,5.809178
825.0144,191.9794,164.0246,5.71507
825.0825,193.5988,165.4701,5.785669
825.1506,200.4086,171.3775,6.00225
825.2187,205.7123,175.9421,6.169992
825.2868,206.6631,176.6825,6.195138
825.3549,204.0226,174.2021,6.108035
825.423,198.0053,168.8281,5.922003
825.4912,193.5533,164.9517,5.768272
825.5593,195.8382,166.8889,5.81169
825.6275,199.1952,169.7179,5.894682
825.6956,197.3358,167.9462,5.820907
825.7638,186.3912,158.3113,5.459399
825.832,167.1685,141.7761,4.841928
825.9003,160.2386,135.8144,4.609076
825.9684,174.9803,148.3053,5.054009
826.0367,190.9048,161.9709,5.540186
826.1049,193.3682,164.2956,5.620114
826.1732,187.8373,159.7304,5.488452
826.2414,187.8529,159.7096,5.525296
826.3097,194.6023,165.3486,5.736513
826.378,198.688,168.7887,5.861819
826.4463,197.2777,167.6209,5.80163
826.5146,189.6975,161.238,5.535468
826.5829,182.504,155.0863,5.309922
826.6512,186.7624,158.6168,5.457942
826.7196,197.3437,167.7661,5.795174
826.7879,203.4876,173.3042,5.98982
826.8563,203.1608,173.0531,5.983011
826.9247,201.1501,171.1913,5.936382
826.993,202.5679,172.4767,6.003574
827.0615,203.3877,173.3023,6.063989
827.1298,201.4658,171.6334,6.021223
827.1983,200.2829,170.4635,5.958777
827.2667,198.9277,169.0423,5.892756
827.3352,193.5687,164.3219,5.6984
827.4036,183.7411,155.8583,5.393226
827.4721,177.2049,150.0204,5.224673
827.5406,173.498,146.6406,5.091732
827.6091,161.1489,136.3226,4.680003
827.6775,151.0241,127.8584,4.396912
827.746,158.1761,133.6319,4.609134
827.8146,164.348,138.7886,4.746258
827.8831,163.2788,138.0399,4.722393
827.9517,169.8275,143.4495,4.994205
828.0202,177.8218,150.1156,5.305192
828.0888,176.0741,148.8352,5.217726
828.1574,167.3322,141.6106,4.895691
828.2259,163.6799,138.2744,4.822193
828.2945,165.7117,139.5919,4.89835
828.3632,157.6716,132.9249,4.593348
828.4318,148.6521,125.5631,4.279757
828.5004,158.8347,134.2076,4.584598
828.5691,174.2669,147.494,5.082704
828.6377,179.8051,152.4326,5.310574
828.7064,179.5242,152.2175,5.288036
828.775,172.9823,146.3925,5.001723
828.8438,158.2003,133.1062,4.493383
828.9125,138.9701,116.0113,3.852363
828.9812,121.4391,100.9333,3.233363
829.0499,115.5582,95.70339,3.016333
829.1187,121.7574,100.4813,3.231678
829.1874,130.7641,108.1768,3.546353
829.2562,141.3771,117.4655,3.894392
829.3249,151.1465,126.0582,4.211405
829.3937,156.092,130.6618,4.400929
829.4625,157.0083,131.628,4.459045
829.5313,149.6234,125.2061,4.240489
829.6002,132.2952,110.3582,3.714211
829.6689,122.7509,102.196,3.420338
829.7378,133.2224,110.8124,3.714942
829.8066,150.3975,125.366,4.203053
829.8755,163.8627,137.1085,4.609777
829.9444,172.6199,144.9666,4.924464
830.0133,175.8602,148.3058,5.091283
830.0822,175.8843,148.7506,5.130512
830.1511,171.613,145.243,4.994031
830.22,160.7863,136.075,4.653957
830.2889,155.8902,131.7694,4.519682
830.3579,165.5153,139.7261,4.793227
830.4268,175.1103,147.927,5.039881
830.4958,174.5275,147.4547,5.014145
830.5648,165.2742,139.3466,4.743401
830.6338,148.3153,124.7726,4.240131
830.7028,133.0814,111.9293,3.77734
830.7718,133.1677,111.9146,3.78448
830.8408,145.5884,122.176,4.175455
830.9098,157.5074,132.4818,4.530533
830.9789,165.9125,140.0461,4.821871
831.048,172.6129,145.8916,5.10863
831.117,174.68,147.6664,5.222588
831.1861,171.5052,144.9899,5.128465
831.2552,166.3893,140.7017,4.951875
831.3243,160.1667,135.466,4.747749
831.3934,154.7143,130.7012,4.560167
831.4626,157.2018,132.5175,4.605885
831.5317,165.0188,139.1217,4.827351
831.6008,168.7646,142.5859,4.928903
831.67,170.9591,144.472,4.965288
831.7392,168.5095,142.1035,4.866338
831.8083,158.0389,132.9254,4.544826
831.8775,150.6496,126.2869,4.30853
831.9467,145.0484,121.1905,4.111129
832.016,137.9411,115.0088,3.85338
832.0852,140.9026,117.202,3.913376
832.1545,151.78,125.9692,4.229788
832.2237,153.7791,127.4207,4.254306
832.293,137.277,113.744,3.730661
832.3622,121.1021,100.7655,3.295449
832.4316,129.8302,108.1719,3.648662
832.5008,151.3488,125.8797,4.312126
832.5701,166.6053,138.7767,4.748713
832.6395,174.558,146.1642,5.040123
832.7088,179.4816,151.5477,5.272518
832.7782,178.9069,152.0607,5.308916
832.8475,168.1095,143.1178,5.017933
832.9169,159.073,135.2801,4.764307
832.9862,162.3919,137.7462,4.867832
833.0557,166.6383,140.7705,4.981695
833.1251,159.853,134.5857,4.753907
833.1945,152.3127,127.9442,4.506261
833.2639,157.137,131.8289,4.611708
833.3333,162.8905,136.6966,4.736414
833.4028,159.5506,133.8501,4.626901
833.4723,155.198,129.9805,4.51675
833.5417,153.1293,128.0627,4.459913
833.6112,151.4841,126.5802,4.406755
833.6807,153.2703,128.225,4.443367
833.7502,158.2145,132.8745,4.588006
833.8197,164.3084,138.3202,4.847113
833.8892,170.5597,143.5042,5.130577
833.9588,172.0518,144.6044,5.164493
834.0284,161.5522,135.6384,4.728762
834.0979,143.1428,120.2445,4.111176
834.1675,139.2529,117.1055,4.042305
834.2371,154.4798,129.6856,4.538826
834.3067,168.0024,140.9091,4.932885
834.3763,169.2952,142.2036,4.97995
834.446,167.4934,141.1428,5.006117
834.5156,173.5359,146.9728,5.285248
834.5852,183.6657,156.3556,5.628043
834.6549,189.5574,161.9055,5.803806
834.7245,189.4946,162.0623,5.805952
834.7942,185.5269,158.7407,5.689358
834.8639,182.7882,156.3835,5.608471
834.9336,184.5634,157.7862,5.6671
835.0033,184.9692,157.7112,5.68911
835.0731,174.655,148.2215,5.395618
835.1428,162.7376,137.6539,5.027902
835.2126,166.0172,140.3013,5.095443
835.2823,177.6805,150.2439,5.428735
835.3521,184.3674,156.1823,5.608231
835.4219,183.4811,155.3496,5.569402
835.4917,175.4648,148.059,5.330858
835.5615,166.9972,140.5449,5.023335
835.6313,165.2374,138.8956,4.905889
835.7012,168.1676,141.1995,5.035796
835.771,171.3316,143.6967,5.224652
835.8409,169.143,141.9254,5.139838
835.9107,161.3332,135.941,4.816552
835.9806,160.3273,135.7899,4.785066
836.0505,169.8191,144.0301,5.11538
836.1204,178.6352,151.492,5.398021
836.1903,181.9556,154.3359,5.49601
836.2603,181.5301,153.9771,5.471724
836.3302,174.6922,148.2063,5.242562
836.4002,162.6337,138.0883,4.846162
836.4701,159.2323,135.2384,4.72808
836.54,168.7713,143.1607,5.035717
836.6101,178.2473,151.1709,5.357886
836.6801,181.3086,153.9907,5.491735
836.7501,179.4577,152.6469,5.493371
836.8201,175.0708,149.1138,5.392904
836.8901,169.1914,144.2317,5.199434
836.9601,166.4731,141.7985,5.109317
837.0302,173.2637,147.3055,5.324579
837.1003,181.92,154.5608,5.578368
837.1704,183.842,156.2739,5.625844
837.2405,182.4286,155.4028,5.588383
837.3106,182.8786,156.1796,5.61311
837.3806,184.7249,157.6837,5.683524
837.4508,183.8667,156.5764,5.668811
837.521,177.7647,151.1132,5.478124
837.5911,171.0789,145.3294,5.254358
837.6613,170.7059,144.8553,5.23092
837.7314,172.871,146.4134,5.280396
837.8016,168.8533,142.9471,5.108377
837.8718,162.5663,137.8706,4.875733
837.942,164.4776,139.7288,4.934167
838.0122,171.5478,145.7021,5.166215
838.0825,176.8981,150.0293,5.351202
838.1527,178.7602,151.596,5.436439
838.223,176.8939,150.3829,5.408733
838.2933,174.2618,148.5234,5.342713
838.3635,172.0133,146.7202,5.273254
838.4338,170.0603,145.0379,5.216286
838.5041,169.7773,144.7979,5.208425
838.5744,170.8078,145.6738,5.241194
838.6447,171.8674,146.5075,5.274626
838.7151,171.0114,145.6853,5.229038
838.7854,167.579,142.7194,5.106581
838.8558,162.4982,138.4061,4.956355
838.9262,155.4179,132.471,4.764712
838.9966,153.7788,131.3429,4.753105
839.067,165.2083,141.545,5.139017
839.1374,181.4479,155.9208,5.669657
839.2078,192.1321,165.5226,6.024459
839.2782,197.0388,170.0781,6.191734
839.3487,199.0945,172.0293,6.264389
839.4191,199.6406,172.5226,6.28765
839.4896,198.4802,171.4115,6.254745
839.5601,194.4205,167.676,6.129581
839.6305,190.0383,163.6517,5.995354
839.7011,189.0466,162.6315,5.96521
839.7716,188.1972,161.6597,5.940504
839.8421,182.6562,156.5202,5.753032
839.9127,174.1882,148.9083,5.4596
839.9832,171.1388,146.1586,5.341704
840.0537,176.5394,150.7393,5.490579
840.1243,181.2433,154.6243,5.625586
840.1949,180.7146,154.0922,5.608122
840.2655,180.1697,153.8264,5.602129
840.3361,182.0239,155.798,5.678567
840.4068,183.9084,157.617,5.748759
840.4774,184.5533,158.1128,5.775547
840.548,184.8635,158.2859,5.801278
840.6187,184.5687,157.9687,5.802729
840.6894,181.1497,154.8448,5.675004
840.7601,175.674,149.8403,5.482672
840.8307,175.846,149.9609,5.487053
840.9014,181.3569,154.9317,5.64752
840.9722,182.7355,156.2233,5.67101
841.0429,179.5287,153.4656,5.572111
841.1136,179.5784,153.5652,5.61555
841.1844,184.6568,158.0921,5.834961
841.2551,189.9475,162.9892,6.025909
841.3259,192.2835,165.357,6.097629
841.3967,191.0874,164.4663,6.066171
841.4675,189.31,162.9041,6.012723
841.5383,187.9618,161.4686,5.971823
841.6092,185.0441,158.5494,5.896011
841.68,183.5117,157.0043,5.852394
841.7509,184.6437,157.9279,5.867348
841.8217,186.0851,159.2041,5.888753
841.8926,184.7076,158.0358,5.832544
841.9635,178.7756,152.8595,5.632633
842.0343,173.2793,148.0912,5.438167
842.1053,174.1749,148.9024,5.469159
842.1762,180.6823,154.5534,5.706625
842.2471,187.3317,160.3609,5.931962
842.3181,191.3878,164.0209,6.049723
842.389,192.6693,165.3465,6.103569
842.46,191.8193,164.9353,6.12411
842.531,191.1304,164.7726,6.131621
842.602,192.5324,166.3667,6.177907
842.6729,195.1662,168.8468,6.266776
842.744,195.4069,169.085,6.279964
842.815,192.9156,166.9084,6.188756
842.886,191.7194,165.7387,6.136318
842.9571,191.9969,165.5907,6.146226
843.0281,192.2623,165.4972,6.158537
843.0992,194.2781,167.3246,6.215446
843.1703,196.1294,169.0626,6.274236
843.2414,195.3162,168.191,6.266936
843.3125,195.3726,168.1023,6.274258
843.3837,197.6085,170.23,6.336517
843.4548,198.5831,171.3535,6.371167
843.5259,197.2044,170.1441,6.346561
843.5971,193.5146,166.8832,6.246594
843.6683,187.0331,161.4909,6.036398
843.7394,181.5339,156.9151,5.851736
843.8107,182.5009,157.7415,5.885591
843.8818,189.2755,163.5625,6.108992
843.9531,195.2688,168.7289,6.306715
844.0243,195.3545,168.7904,6.319352
844.0955,191.0431,165.0522,6.184264
844.1668,187.6452,162.0281,6.064458
844.2381,187.3653,161.5784,6.036653
844.3093,189.5022,163.2922,6.094278
844.3806,193.5163,166.8498,6.236174
844.452,197.0293,170.0381,6.359182
844.5233,197.8216,170.7945,6.37905
844.5946,196.9723,170.1282,6.361178
844.6659,197.1578,170.4829,6.390122
844.7373,196.8928,170.453,6.398692
844.8086,192.7825,166.9598,6.281619
844.88,189.5187,164.1836,6.186662
844.9514,192.6897,166.9625,6.283627
845.0228,197.8537,171.3365,6.436719
845.0942,199.5219,172.5544,6.490567
845.1657,198.9083,171.9354,6.475655
845.2371,198.4574,171.7317,6.447674
845.3085,199.1114,172.4375,6.451704
845.38,200.5652,173.67,6.490848
845.4515,201.2241,174.1475,6.507362
845.5229,200.2173,173.086,6.477472
845.5945,198.619,171.495,6.438014
845.666,198.0009,170.9474,6.419442
845.7375,198.5413,171.5986,6.424352
845.809,199.0503,172.204,6.443297
845.8806,198.4059,171.7425,6.44443
845.9521,197.3714,171.0252,6.428585
846.0237,197.3013,171.2012,6.437645
846.0953,198.0647,171.9561,6.475951
846.1668,198.7852,172.5459,6.506925
846.2385,199.2931,172.8893,6.525718
846.3101,200.0351,173.3265,6.552362
846.3817,200.4422,173.488,6.563538
846.4534,199.2989,172.4363,6.518288
846.525,196.3167,169.8489,6.410672
846.5967,194.1653,167.9676,6.333221
846.6684,195.6111,169.2706,6.382324
846.7401,198.1491,171.6618,6.474752
846.8118,198.6761,172.2883,6.501298
846.8835,197.5283,171.3405,6.47173
846.9552,193.4447,167.8673,6.347486
847.0269,185.8424,161.4225,6.103107
847.0987,182.186,158.3086,5.97712
847.1705,188.0018,163.2334,6.162263
847.2422,195.7634,169.9202,6.422447
847.314,197.7224,171.8244,6.493317
847.3858,197.0616,171.4442,6.47101
847.4576,198.2919,172.3885,6.514956
847.5295,200.1976,173.7884,6.585707
847.6013,201.221,174.558,6.617863
847.6731,201.9489,175.125,6.634427
847.745,202.4389,175.4941,6.648832
847.8169,202.1892,175.2482,6.645389
847.8888,201.5003,174.6552,6.628638
847.9607,201.0904,174.3825,6.616585
848.0326,201.1179,174.5169,6.620269
848.1045,201.1738,174.6069,6.633922
848.1764,200.8499,174.3196,6.629688
848.2484,199.9773,173.5901,6.599257
848.3203,198.4622,172.3799,6.550918
848.3923,196.7727,171.0395,6.496099
848.4643,196.7205,171.0388,6.4966
848.5363,199.1253,173.1161,6.583696
848.6083,201.8242,175.4462,6.6795
848.6803,202.9334,176.3917,6.714501
848.7523,202.804,176.2142,6.702328
848.8244,201.9897,175.3522,6.671409
848.8964,200.6249,174.0437,6.626532
848.9685,199.0908,172.7059,6.578622
849.0406,198.6423,172.2584,6.568542
849.1127,200.0204,173.4228,6.612483
849.1848,201.485,174.8501,6.657558
849.2569,201.431,174.9574,6.657453
849.3291,200.0389,173.941,6.616639
849.4012,198.3112,172.6376,6.567392
849.4733,197.4442,171.7775,6.543598
849.5455,197.2999,171.4127,6.539541
849.6177,196.9132,170.9868,6.527835
849.6898,195.4821,169.716,6.482246
849.7621,191.0569,165.8996,6.337393
849.8343,179.8238,156.3185,5.969399
849.9065,158.1698,137.6731,5.25709
849.9787,132.4641,115.3472,4.406699
850.051,123.2371,107.2952,4.099651
850.1233,140.4344,122.2571,4.666195
850.1955,166.9169,145.2722,5.540679
850.2678,183.9063,159.8765,6.10368
850.3401,189.6555,164.641,6.295127
850.4124,190.0688,165.0375,6.317232
850.4848,190.736,165.8158,6.353165
850.5571,193.6759,168.2961,6.45449
850.6294,196.5939,170.5684,6.547589
850.7018,197.6489,171.4324,6.58171
850.7742,197.7465,171.6923,6.585998
850.8466,198.278,172.1823,6.604092
850.919,199.3261,172.8841,6.641968
850.9914,200.154,173.4774,6.678454
851.0638,200.2381,173.6743,6.695909
851.1363,199.5798,173.3539,6.68819
851.2087,198.7606,172.7849,6.66319
851.2812,198.1492,172.2496,6.62948
851.3536,197.2262,171.3017,6.577968
851.4261,195.463,169.5544,6.504523
851.4987,191.1694,165.836,6.351933
851.5711,181.1873,157.3357,6.017703
851.6437,170.5398,148.1551,5.677688
851.7162,171.0919,148.6247,5.702954
851.7888,182.2407,158.3068,6.066297
851.8613,192.1313,166.8995,6.406055
851.9339,195.6467,169.9369,6.551979
852.0065,195.8803,170.116,6.574527
852.0791,195.9222,170.1408,6.561697
852.1517,196.4632,170.6147,6.549777
852.2243,197.0605,171.1752,6.56469
852.2969,197.5182,171.8015,6.601103
852.3696,197.9086,172.4807,6.623847
852.4423,197.7915,172.3496,6.622361
852.5149,197.2217,171.5145,6.611681
852.5876,197.1719,171.4691,6.615512
852.6603,197.2672,171.8811,6.619142
852.733,195.0806,170.1308,6.548127
852.8057,189.1489,164.8567,6.354484
852.8785,183.2007,159.5947,6.159706
852.9512,183.4009,159.8578,6.169621
853.0239,189.1712,164.9565,6.365721
853.0967,194.2585,169.3559,6.53653
853.1695,195.8041,170.6061,6.586617
853.2423,195.5294,170.3121,6.575258
853.3151,195.031,169.9463,6.555849
853.388,194.4329,169.47,6.536067
853.4608,193.8144,168.9109,6.518627
853.5336,193.0647,168.1984,6.495517
853.6065,191.3745,166.5083,6.441115
853.6794,188.2489,163.4722,6.33991
853.7523,184.4469,159.9612,6.215443
853.8252,181.2491,157.0881,6.108876
853.898,178.8215,155.0537,6.02242
853.9709,175.4697,152.4394,5.900345
854.0439,169.4787,147.455,5.692467
854.1169,160.2496,139.3279,5.381798
854.1898,146.8572,127.4273,4.926827
854.2628,127.3082,110.3977,4.265012
854.3357,102.6108,89.1397,3.444705
854.4087,83.58868,72.74559,2.818087
854.4818,84.17112,73.26037,2.843328
854.5548,103.949,90.45847,3.512863
854.6278,128.8937,112.1594,4.358264
854.7009,148.6086,129.3048,5.027184
854.7739,161.6736,140.6943,5.471471
854.847,169.934,147.9448,5.756369
854.9201,175.5947,152.8805,5.949381
854.9932,179.8056,156.4658,6.087545
855.0662,182.8792,159.0643,6.192518
855.1394,185.3001,161.1414,6.279797
855.2125,187.1487,162.7365,6.344816
855.2856,188.6004,163.9825,6.393872
855.3588,190.2544,165.4089,6.44763
855.432,191.7885,166.759,6.496706
855.5052,192.2952,167.2464,6.514412
855.5784,192.0403,167.0678,6.507901
855.6516,191.815,166.8804,6.502802
855.7248,191.2001,166.3108,6.483236
855.798,189.0521,164.3987,6.410095
855.8713,186.3456,161.9949,6.318415
855.9445,186.5277,162.0721,6.32359
856.0178,190.1978,165.2092,6.447773
856.0911,193.498,168.064,6.55973
856.1644,193.9388,168.4319,6.577548
856.2377,193.2932,167.8538,6.563763
856.311,193.6492,168.147,6.584545
856.3843,194.6817,169.0316,6.623835
856.4577,195.4837,169.7171,6.652649
856.531,195.808,169.9831,6.669362
856.6044,195.6923,169.8647,6.672211
856.6778,195.3752,169.5725,6.663702
856.7512,195.212,169.4139,6.657527
856.8246,195.3029,169.4755,6.659988
856.898,195.3397,169.4901,6.659836
856.9714,195.0945,169.2605,6.647258
857.0449,194.8531,169.035,6.630809
857.1184,194.7563,169.0351,6.623601
857.1919,194.2148,168.8341,6.614383
857.2654,192.9392,167.8586,6.575216
857.3388,191.6495,166.6601,6.522679
857.4123,191.2505,166.4434,6.50733
857.4858,191.7635,166.9984,6.52791
857.5594,192.3398,167.4237,6.552322
857.6329,192.5586,167.7335,6.573958
857.7065,192.2768,167.672,6.578305
857.78,191.5158,167.0512,6.561605
857.8537,191.2817,166.8415,6.563747
857.9273,192.1636,167.5986,6.604282
858.0009,193.2144,168.5011,6.64695
858.0745,193.506,168.7405,6.660323
858.1481,193.3015,168.547,6.655477
858.2218,192.4503,167.7905,6.625903
858.2954,188.9008,164.6834,6.50114
858.3691,182.6937,159.2578,6.285748
858.4428,179.4848,156.4436,6.17436
858.5165,182.6771,159.2098,6.283064
858.5902,187.4429,163.3461,6.44952
858.6639,189.2715,164.922,6.517265
858.7376,189.5581,165.1552,6.529325
858.8114,189.5735,165.1524,6.529445
858.8852,187.7341,163.536,6.462797
858.959,185.0625,161.1945,6.366296
859.0328,185.2952,161.3783,6.372194
859.1065,188.2905,163.963,6.471817
859.1803,190.6508,165.8943,6.540366
859.2542,191.149,166.1293,6.543023
859.328,190.7451,165.7489,6.529508
859.4019,189.7982,165.0549,6.50422
859.4757,188.0452,163.6259,6.446572
859.5496,186.9326,162.6779,6.413768
859.6235,188.0446,163.6241,6.460474
859.6974,189.3088,164.6891,6.509288
859.7713,188.2925,163.787,6.477055
859.8452,186.5016,162.2365,6.418629
859.9192,186.3082,162.0687,6.415369
859.9931,186.709,162.4042,6.431628
860.0671,185.6405,161.4595,6.398767
860.141,184.8005,160.7138,6.374455
860.2151,186.3855,162.0783,6.429954
860.289,188.527,163.9276,6.501267
860.3631,189.4187,164.6888,6.530167
860.4371,189.8252,165.0245,6.545274
860.5111,190.2363,165.3625,6.562804
860.5852,190.4634,165.542,6.573224
860.6592,190.3806,165.4524,6.569652
860.7333,189.6376,164.7749,6.541722
860.8074,188.2311,163.5221,6.49057
860.8816,186.946,162.4025,6.442552
860.9557,186.95,162.4034,6.438612
861.0298,188.5486,163.7762,6.487774
861.104,190.0945,165.078,6.537469
861.1781,189.9707,164.9131,6.532499
861.2522,187.0891,162.3949,6.425992
